,FOT,DMG,BLR,CTR,KLP,MDA,KLN,PGW,MHO,PDN,KDY,KKS
FOT,0,30,30,30,30,30,35,450,850,800,850,2000
DMG,30,0,30,30,30,30,35,450,850,800,850,2000
BLR,30,30,0,30,30,30,35,450,850,800,850,2000
CTR,30,30,30,0,30,30,35,450,850,800,850,2000
KLP,30,30,30,30,0,30,35,450,850,800,850,2000
MDA,30,30,30,30,30,0,35,450,850,800,850,2000
KLN,35,35,35,35,35,35,0,450,850,800,850,2000
PGW,450,450,450,450,450,450,450,0,180,110,150,1650
MHO,850,850,850,850,850,850,850,180,0,350,310,1000
PDN,800,800,800,800,800,800,800,110,350,0,35,1450
KDY,850,850,850,850,850,850,850,150,310,35,0,1300
KKS,2000,2000,2000,2000,2000,2000,2000,1650,1000,1450,1300,0
