,FOT,DMG,BLR,CTR,KLP,MDA,KLN,PGW,MHO,PDN,KDY,KKS
FOT,0,20,20,20,20,20,25,300,650,600,650,1800
DMG,20,0,20,20,20,20,25,300,650,600,650,1800
BLR,20,20,0,20,20,20,25,300,650,600,650,1800
CTR,20,20,20,0,20,20,25,300,650,600,650,1800
KLP,20,20,20,20,0,20,25,300,650,600,650,1800
MDA,20,20,20,20,20,0,25,300,650,600,650,1800
KLN,25,25,25,25,25,25,0,300,650,600,650,1800
PGW,300,300,300,300,300,300,300,0,180,110,125,1500
MHO,650,650,650,650,650,650,650,180,0,250,275,800
PDN,600,600,600,600,600,600,600,110,250,0,25,1200
KDY,650,650,650,650,650,650,650,125,275,25,0,1225
KKS,1800,1800,1800,1800,1800,1800,1800,1500,800,1200,1225,0
