,FOT,DMG,BLR,CTR,KLP,MDA,KLN,PGW,MHO,PDN,KDY,KKS
FOT,0,40,40,40,40,40,47,607,1147,1080,1147,2700
DMG,40,0,40,40,40,40,47,607,1147,1080,1147,2700
BLR,40,40,0,40,40,40,47,607,1147,1080,1147,2700
CTR,40,40,40,0,40,40,47,607,1147,1080,1147,2700
KLP,40,40,40,40,0,40,47,607,1147,1080,1147,2700
MDA,40,40,40,40,40,0,47,607,1147,1080,1147,2700
KLN,47,47,47,47,47,47,0,607,1147,1080,1147,2700
PGW,607,607,607,607,607,607,607,0,243,148,202,2227
MHO,1147,1147,1147,1147,1147,1147,1147,243,0,472,418,1350
PDN,1080,1080,1080,1080,1080,1080,1080,148,472,0,47,1957
KDY,1147,1147,1147,1147,1147,1147,1147,202,418,47,0,1755
KKS,2700,2700,2700,2700,2700,2700,2700,2227,1350,1957,1755,0
