,FOT,DMG,BLR,CTR,KLP,MDA,KLN,PGW,MHO,PDN,KDY,KKS
FOT,0,40.5,40.5,40.5,40.5,40.5,47.25,607.5,1147.5,1080,1147.5,2700
DMG,40.5,0,40.5,40.5,40.5,40.5,47.25,607.5,1147.5,1080,1147.5,2700
BLR,40.5,40.5,0,40.5,40.5,40.5,47.25,607.5,1147.5,1080,1147.5,2700
CTR,40.5,40.5,40.5,0,40.5,40.5,47.25,607.5,1147.5,1080,1147.5,2700
KLP,40.5,40.5,40.5,40.5,0,40.5,47.25,607.5,1147.5,1080,1147.5,2700
MDA,40.5,40.5,40.5,40.5,40.5,0,47.25,607.5,1147.5,1080,1147.5,2700
KLN,47.25,47.25,47.25,47.25,47.25,47.25,0,607.5,1147.5,1080,1147.5,2700
PGW,607.5,607.5,607.5,607.5,607.5,607.5,607.5,0,243,148.5,202.5,2227.5
MHO,1147.5,1147.5,1147.5,1147.5,1147.5,1147.5,1147.5,243,0,472.5,418.5,1350
PDN,1080,1080,1080,1080,1080,1080,1080,148.5,472.5,0,47.25,1957.5
KDY,1147.5,1147.5,1147.5,1147.5,1147.5,1147.5,1147.5,202.5,418.5,47.25,0,1755
KKS,2700,2700,2700,2700,2700,2700,2700,2227.5,1350,1957.5,1755,0
