,FOT,DMG,BLR,CTR,KLP,MDA,KLN,PGW,MHO,PDN,KDY,KKS
FOT,0,60,60,60,60,60,70,900,1700,1600,1700,4000
DMG,60,0,60,60,60,60,70,900,1700,1600,1700,4000
BLR,60,60,0,60,60,60,70,900,1700,1600,1700,4000
CTR,60,60,60,0,60,60,70,900,1700,1600,1700,4000
KLP,60,60,60,60,0,60,70,900,1700,1600,1700,4000
MDA,60,60,60,60,60,0,70,900,1700,1600,1700,4000
KLN,70,70,70,70,70,70,0,900,1700,1600,1700,4000
PGW,900,900,900,900,900,900,900,0,360,220,300,3300
MHO,1700,1700,1700,1700,1700,1700,1700,360,0,700,620,2000
PDN,1600,1600,1600,1600,1600,1600,1600,220,700,0,70,2900
KDY,1700,1700,1700,1700,1700,1700,1700,300,620,70,0,2600
KKS,4000,4000,4000,4000,4000,4000,4000,3300,2000,2900,2600,0
