,FOT,DMG,BLR,CTR,KLP,MDA,KLN,PGW,MHO,PDN,KDY,KKS
FOT,0,40,40,40,40,40,50,600,1300,1200,1300,3600
DMG,40,0,40,40,40,40,50,600,1300,1200,1300,3600
BLR,40,40,0,40,40,40,50,600,1300,1200,1300,3600
CTR,40,40,40,0,40,40,50,600,1300,1200,1300,3600
KLP,40,40,40,40,0,40,50,600,1300,1200,1300,3600
MDA,40,40,40,40,40,0,50,600,1300,1200,1300,3600
KLN,50,50,50,50,50,50,0,600,1300,1200,1300,3600
PGW,600,600,600,600,600,600,600,0,360,220,250,3000
MHO,1300,1300,1300,1300,1300,1300,1300,360,0,500,550,1600
PDN,1200,1200,1200,1200,1200,1200,1200,220,500,0,50,2400
KDY,1300,1300,1300,1300,1300,1300,1300,250,550,50,0,2450
KKS,3600,3600,3600,3600,3600,3600,3600,3000,1600,2400,2450,0
